MfgComment,PartID,Description
F1,2215-0026,"FUSE,SMD,SLOW-BLOW,2A,125V,OMNI-BLOK"
"R25, R458, R459, R460, R461",2220-0002,"RES,SMD,680R,1%,0.1W,0603"
"R149, R150, R151, R152, R153, R154, R190, R191, R192, R193, R263, R264, R293, R294, R295, R296, R297, R468, R469, R474, R475, R478, R492, R493, R500, R527, R537, R540, R541, R544, R545,  R548",2220-0028,"RES,SMD,0R,1%,0.1W,0603"
"R59, R63, R67, R71, R75, R79, R318",2220-0031,"RES,SMD,10R,1%,0.25W,1206"
"R46, R52, R202, R206, R233, R234, R235, R236, R237, R238, R239, R240, R241, R242, R243, R244, R245, R246, R247, R248, R249, R250, R251, R252, R253, R254, R255, R471, R472, R530, R538",2220-0038,"RES,SMD,100R,1%,0.1W,0603"
"R7, R8, R17, R26, R28, R54, R57, R90, R92, R125, R126, R127, R128, R129, R130, R134, R136, R138, R140, R141, R142, R143, R144, R145, R146, R147, R148, R174, R175, R176, R177, R180, R182, R184, R185, R186, R187, R188, R189, R201, R333, R334, R388, R441, R485, R488, R494, R518, R519, R520, R525, R539, R543, R35",2220-0046,"RES,SMD,1K,1%,0.063W,0603"
"R31, R32, R2, R4, R11, R49, R89, R91, R94, R96, R97, R98, R155, R199, R200, R258, R259, R262, R265, R266, R289, R290, R291, R292, R316, R317, R384, R425, R432, R434, R435, R439, R440, R442, R449, R454, R462, R504, R505, R506, R507, R508, R510, R511, R513, R514, R515, R517",2220-0057,"RES,SMD,10K,1%,0.1W,0603"
"R83, R84, R85, R86, R87, R88, R93, R95, R99, R100, R424, R437, R463, R464, R465, R466, R467",2220-0060,"RES,SMD,100K,1%,0.1W,0603"
R455,2220-0099,"RES,SMD,31.6K,1%,0.1W,0603"
R443,2220-0101,"RES,SMD,4.22K,1%,0.1W,0603"
R457,2220-0104,"RES,SMD,511R,1%,0.1W,0603"
R10,2220-0117,"RES,SMD,21.5K,1%,0.125W,0805"
"R13, R419, R421, R438, R444",2220-0130,"RES,SMD,3.01K,1%,0.125W,0805"
R58,2220-0133,"RES,SMD,422R,1%,0.063W,0603"
"R9, R422, R436, R445",2220-0134,"RES,SMD,46.4K,1%,0.063W,0603"
R498,2220-0226,"RES,SMD,6.8K,1%,0.1W,0603"
R203,2220-0255,"RES,SMD,22R,1%,0.063W,0603"
"R207, R208, R209, R210, R211, R212, R213, R214, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R228, R229, R230, R231",2220-0257,"RES,SMD,62R,1%,0.063W,0603"
"R204, R205, R267, R268, R269, R270, R313, R314, R386",2220-0260,"RES,SMD,240R,1%,0.063W,0603"
R6,2220-0269,"RES,SMD,15K,1%,0.063W,0603"
R450,2220-0270,"RES,SMD,16.2K,1%,0.063W,0603"
